golferName,nationality,region (EU/US/ROW),avgOdds,worldRanking,salary ,marketRank
Scottie Scheffler,USA,USA,6.590909091,1,30,Y
Jon Rahm,EU,EU,11.18181818,30,29.7,Y
Bryson DeChambeau,USA,USA,12.27272727,24,29.4,Y
Rory McIlroy,EU,EU,13.45454545,2,29.1,Y
Xander Schauffele,USA,USA,14.09090909,10,28.8,Y
Ludvig Aberg,EU,EU,16.27272727,17,28.5,Y
Matt Fitzpatrick,EU,EU,19.18181818,6,28.2,Y
Cameron Young,USA,USA,19.36363636,3,27.9,Y
Tommy Fleetwood,EU,EU,19.90909091,4,27.6,Y
Hideki Matsuyama,ROW,ROW,26,14,27.3,Y
Robert MacIntyre,EU,EU,27,8,27,N
Justin Rose,EU,EU,27.36363636,9,26.7,N
Min Woo Lee,ROW,ROW,31.90909091,25,26.4,N
Collin Morikawa,USA,USA,34.81818182,7,26.1,N
Patrick Reed,USA,USA,36.45454545,23,25.8,N
Si Woo Kim,ROW,ROW,42.18181818,28,25.5,N
Jordan Spieth,USA,USA,42.36363636,61,25.2,N
Brooks Koepka,USA,USA,42.36363636,169,24.9,N
Russell Henley,USA,USA,46.72727273,12,24.6,N
Viktor Hovland,EU,EU,48.09090909,22,24.3,N
Christopher Gotterup,USA,USA,49.90909091,11,24,N
Akhshay Bhatia,USA,USA,56.09090909,21,23.7,N
Patrick Cantlay,USA,USA,57.81818182,35,23.4,N
Shane Lowry,EU,EU,58.27272727,32,23.1,N
Jake Knapp,USA,USA,58.36363636,42,22.8,N
Nicolai Hojgaard,EU,EU,60.54545455,36,22.5,N
J.J Spaun,USA,USA,62.90909091,5,22.2,N
Justin Thomas,USA,USA,63.54545455,15,21.9,N
Adam Scott,ROW,ROW,66.63636364,53,21.6,N
Jacob Bridgeman,USA,USA,68.45454545,18,21.3,N
Maverick McNealy,USA,USA,68.72727273,27,21,N
Sepp Straka,EU,EU,69.18181818,13,20.7,N
Jason Day,ROW,ROW,71.72727273,41,20.4,N
Corey Conners,ROW,ROW,71.81818182,44,20.1,N
Tyrrell Hatton,EU,EU,75.63636364,31,19.8,N
Marco Penge,EU,EU,75.90909091,37,19.5,N
Sam Burns,USA,USA,77.09090909,33,19.2,N
Harris English,USA,USA,81,20,18.9,N
Sungjae Im,ROW,ROW,91.90909091,71,18.6,N
Cameron Smith,ROW,ROW,92.45454545,222,18.3,N
Gary Woodland,USA,USA,99.63636364,52,18,N
Kurt Kitayama,USA,USA,109.6363636,34,17.7,N
Rasmus Hojgaard,EU,EU,127.8181818,57,17.4,N
Ryan Gerard,USA,USA,130.0909091,29,17.1,N
Max Homa,USA,USA,131.4545455,163,16.8,N
Ben Griffin,USA,USA,131.9090909,16,16.5,N
Daniel Berger,USA,USA,132.8181818,38,16.2,N
Alex Noren,EU,EU,145.5454545,19,15.9,N
Keegan Bradley,USA,USA,149.1818182,26,15.6,N
Brian Harman,USA,USA,155.5454545,50,15.3,N
Harry Hall,EU,EU,155.5454545,62,15,N
Sam Stevens,USA,USA,156.4545455,45,14.7,N
Wyndham Clark,USA,USA,169.1818182,78,14.4,N
Aaron Rai,EU,EU,176,39,14.1,N
Casey Jarvis,ROW,ROW,185.0909091,70,13.8,N
Ryan Fox,ROW,ROW,187.3636364,51,13.5,N
Nick Taylor,ROW,ROW,189.6363636,67,13.2,N
Dustin Johnson,USA,USA,197.3636364,593,12.9,N
Michael Kim,USA,USA,205.5454545,43,12.6,N
Kristoffer Reitan,EU,EU,207.8181818,46,12.3,N
Aldrich Potgieter,ROW,ROW,212.3636364,77,12,N
Matt McCarty,USA,USA,216.9090909,49,11.7,N
Sergio Garcia,EU,EU,221.4545455,345,11.4,N
Max Greyserman,USA,USA,228.2727273,59,11.1,N
Carlos Ortiz,ROW,ROW,228.2727273,161,10.8,N
Nico Echavarria,ROW,ROW,232.8181818,40,10.5,N
Tom McKibbin,EU,EU,241.9090909,105,10.2,N
Hao Tong Li,ROW,ROW,244.1818182,84,9.9,N
Andrew Novak,USA,USA,248.7272727,48,9.6,N
John Keefer,USA,USA,269.1818182,64,9.3,N
Rasmus Neergaard-Petersen,EU,EU,271.4545455,69,9,N
Sami Valimaki,EU,EU,276,56,8.7,N
Michael Brennan,USA,USA,296.4545455,47,8.4,N
Bubba Watson,USA,USA,337.3636364,702,8.1,N
Charl Schwartzel,ROW,ROW,428.2727273,566,7.8,N
Zach Johnson,USA,USA,432.8181818,321,7.5,N
Davis Riley,USA,USA,441.9090909,120,7.2,N
Danny Willett,EU,EU,528.2727273,400,6.9,N
Brian Campbell,USA,USA,641.9090909,112,6.6,N
Naoyuki Kataoka,ROW,ROW,869.1818182,372,6.3,N
Mason Howell,USA,USA,978.2727273,NR,6,N
Ethan Fang,USA,USA,1001,4935,5.7,N
Angel Cabrera,ROW,ROW,1023.727273,3092,5.4,N
Fifa Laopakdee,ROW,ROW,1051,4935,5.1,N
Vijay Singh,ROW,ROW,1251,1418,4.8,N
Brandon Holtz,USA,USA,1251,NR,4.5,N
Jackson Herrington,USA,USA,1251,NR,4.2,N
Fred Couples,USA,USA,1296.454545,4935,3.9,N
Mateo Pulcini,EU,EU,1296.454545,NR,3.6,N
Mike Weir,ROW,ROW,1341.909091,4935,3.3,N
Jose Maria Olazabal,EU,EU,1569.181818,3804,3,N
